Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1,""100nF"",""C_0402_1005Metric"",100.250000,-80.500000,-90.000000,bottom"
"C2,""10uF"",""C_1206_3216Metric"",106.250000,-70.775000,-90.000000,bottom"
"C5,""1uF"",""C_0402_1005Metric"",97.407499,-84.300003,-90.000000,bottom"
"C6,""2.2uF"",""C_0402_1005Metric"",93.750000,-84.300002,90.000000,bottom"
"C7,""10uF"",""C_1206_3216Metric"",92.000000,-82.250000,90.000000,bottom"
"C8,""100nF"",""C_0603_1608Metric"",96.750000,-77.500000,-90.000000,bottom"
"C9,""100nF"",""C_0402_1005Metric"",91.750000,-66.000000,60.000000,bottom"
"C10,""100nF"",""C_0402_1005Metric"",90.000000,-68.000000,0.000000,bottom"
"C11,""100nF"",""C_0603_1608Metric"",87.900000,-67.250000,-90.000000,bottom"
"IC1,""DRV8251DDAR"",""SOIC127P600X170-9N"",85.969999,-72.762999,-90.000000,bottom"
"R2,""120"",""C_0402_1005Metric"",92.500000,-63.750000,-90.000000,bottom"
"U1,""LMZM23601V5"",""Texas_SIL0010A_MicroSiP-10-1EP_3.8x3mm_P0.6mm_EP0.7x2.9mm_ThermalVias"",103.000000,-80.250000,180.000000,bottom"
"U2,""TLV76733DRVx"",""WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias"",95.612500,-84.750001,0.000000,bottom"
"U4,""MA730"",""QFN-16-1EP_3x3mm_P0.5mm_EP1.75x1.75mm"",93.500000,-72.750000,180.000000,bottom"
"U5,""TJA1051T-3"",""SOIC-8_3.9x4.9mm_P1.27mm"",96.879090,-65.832721,150.000000,bottom"
