Ref,Val,Package,PosX,PosY,Rot,Side
"C3","100nF","C_0402_1005Metric",86.750000,-71.000000,90.000000,top
"C4","4.7uF","C_0402_1005Metric",87.750000,-71.000000,90.000000,top
"D1","LED","LED_0402_1005Metric",95.484998,-80.500000,180.000000,top
"D2","LED","LED_0402_1005Metric",92.750000,-80.500000,180.000000,top
"J1","Control_In","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",89.354915,-63.188669,-150.000000,top
"J3","Prog_IN","PinHeader_2x03_P1.27mm_Vertical",104.750000,-64.729999,-90.000000,top
"J4","Power_In","AMASS_XT30UPB-M_1x02_P5.0mm_Vertical",104.000000,-75.750000,90.000000,top
"J5","Power_In","AMASS_XT30UPB-M_1x02_P5.0mm_Vertical",110.999999,-75.750000,90.000000,top
"J6","Control_In","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",85.832923,-57.063277,-150.000000,top
"R1","15k","R_0402_1005Metric",86.715000,-77.381750,0.000000,top
"R3","10k","R_0402_1005Metric",100.250000,-67.750000,-90.000000,top
"R4","430","R_0402_1005Metric",94.750000,-79.000000,-90.000000,top
"R5","430","R_0402_1005Metric",92.250001,-78.990000,-90.000000,top
"U7","STM32G0B1KBTx","LQFP-32_7x7mm_P0.8mm",93.500000,-72.750000,0.000000,top
